Work_Order_ID,Train_ID,Work_Type,Description,Priority,Status,Created_Date,Due_Date,Estimated_Hours,Assigned_Technician,Department,Cost_Estimate,Maintenance_Type,Notes
WO-8EC3796B,CR116,CM-Mechanical,CM-Mechanical for CR116 - Standard maintenance protocol,High,Completed,2025-01-06,2025-01-07,16,Tech_194,Electrical,15040,Corrective,Standard cm-mechanical as per maintenance schedule
WO-179ACE16,CR116,C-Level_Inspection,C-Level Inspection for CR116 - Standard maintenance protocol,High,Completed,2025-01-12,2025-01-13,30,Tech_227,Mechanical,31350,Preventive,Standard c-level inspection as per maintenance schedule
WO-F92CFCF8,CR117,CM-Mechanical,CM-Mechanical for CR117 - Standard maintenance protocol,Low,In_Progress,2025-01-13,2025-02-12,19,Tech_286,Rolling_Stock,19551,Corrective,Standard cm-mechanical as per maintenance schedule
WO-850D3652,CR117,C-Level_Inspection,C-Level Inspection for CR117 - Standard maintenance protocol,Medium,Completed,2024-09-13,2024-09-20,21,Tech_258,Electrical,21042,Preventive,Standard c-level inspection as per maintenance schedule
WO-DB2EBD45,CR117,CM-Electrical,CM-Electrical for CR117 - Standard maintenance protocol,High,Completed,2025-01-18,2025-01-19,23,Tech_131,Electrical,23276,Corrective,Standard cm-electrical as per maintenance schedule
WO-C75AF39A,CR118,Door_System_PM,Door System PM for CR118 - Standard maintenance protocol,Low,In_Progress,2025-01-16,2025-02-15,3,Tech_154,Rolling_Stock,2481,Corrective,Standard door system pm as per maintenance schedule
WO-38A92D2C,CR118,PM-Bogie,PM-Bogie for CR118 - Standard maintenance protocol,Medium,Open,2025-01-20,2025-01-27,23,Tech_286,Rolling_Stock,20792,Preventive,Standard pm-bogie as per maintenance schedule
WO-7B9C29AD,CR118,CM-Electrical,CM-Electrical for CR118 - Standard maintenance protocol,Low,In_Progress,2025-01-15,2025-02-14,10,Tech_151,Mechanical,9430,Corrective,Standard cm-electrical as per maintenance schedule
WO-986FA1D0,CR119,Door_System_PM,Door System PM for CR119 - Standard maintenance protocol,High,Completed,2025-01-11,2025-01-12,6,Tech_181,Electrical,5766,Corrective,Standard door system pm as per maintenance schedule
WO-190CA641,CR120,CM-Electrical,CM-Electrical for CR120 - Standard maintenance protocol,Medium,Completed,2025-01-06,2025-01-13,5,Tech_199,Electrical,4720,Corrective,Standard cm-electrical as per maintenance schedule
WO-8C6B2B4D,CR120,CM-Electrical,CM-Electrical for CR120 - Standard maintenance protocol,Medium,Completed,2025-01-08,2025-01-15,12,Tech_226,Electrical,14184,Corrective,Standard cm-electrical as per maintenance schedule
WO-79610107,CR121,C-Level_Inspection,C-Level Inspection for CR121 - Standard maintenance protocol,Medium,Completed,2024-10-27,2024-11-03,17,Tech_188,Mechanical,18411,Preventive,Standard c-level inspection as per maintenance schedule
WO-6917C583,CR121,A-Level_Inspection,A-Level Inspection for CR121 - Standard maintenance protocol,High,Completed,2025-01-15,2025-01-16,7,Tech_233,Rolling_Stock,7833,Preventive,Standard a-level inspection as per maintenance schedule
WO-F760FB2C,CR121,PM-HVAC,PM-HVAC for CR121 - Standard maintenance protocol,Critical,Completed,2025-01-10,2025-01-10,14,Tech_201,Mechanical,14000,Preventive,Standard pm-hvac as per maintenance schedule
WO-699ADEDE,CR122,PM-HVAC,PM-HVAC for CR122 - Standard maintenance protocol,Low,In_Progress,2025-01-17,2025-02-16,11,Tech_215,Mechanical,12232,Preventive,Standard pm-hvac as per maintenance schedule
WO-7F5F359C,CR122,CM-Mechanical,CM-Mechanical for CR122 - Standard maintenance protocol,Low,In_Progress,2025-01-10,2025-02-09,13,Tech_122,Electrical,13832,Corrective,Standard cm-mechanical as per maintenance schedule
WO-ACF5D7AE,CR123,B-Level_Inspection,B-Level Inspection for CR123 - Standard maintenance protocol,Medium,Completed,2024-12-26,2025-01-02,12,Tech_236,Rolling_Stock,14028,Preventive,Standard b-level inspection as per maintenance schedule
WO-D338BCA5,CR124,CM-Electrical,CM-Electrical for CR124 - Standard maintenance protocol,Medium,In_Progress,2025-01-16,2025-01-23,10,Tech_135,Mechanical,10740,Corrective,Standard cm-electrical as per maintenance schedule
WO-5D6E6383,CR125,Door_System_PM,Door System PM for CR125 - Standard maintenance protocol,Medium,Completed,2025-01-11,2025-01-18,5,Tech_185,Rolling_Stock,5735,Corrective,Standard door system pm as per maintenance schedule
